username,email,password,balance
sheezy0,sheezy0@campus.edu,student123,100.0
DavdBurnett,DavdBurnett@campus.edu,student123,100.0
lwtprettylaugh,lwtprettylaugh@campus.edu,student123,100.0
douggarland,douggarland@campus.edu,student123,100.0
WilfordGemma,WilfordGemma@campus.edu,student123,100.0
monroevicious,monroevicious@campus.edu,student123,100.0
Shutterstock,Shutterstock@campus.edu,student123,100.0
RobinMeske,RobinMeske@campus.edu,student123,100.0
pigzilla_,pigzilla_@campus.edu,student123,100.0
GabrieleNeher,GabrieleNeher@campus.edu,student123,100.0
Blissful_Eats,Blissful_Eats@campus.edu,student123,100.0
eliseotecleo,eliseotecleo@campus.edu,student123,100.0
kaylanabrewer_,kaylanabrewer_@campus.edu,student123,100.0
americacredit,americacredit@campus.edu,student123,100.0
cheyflan,cheyflan@campus.edu,student123,100.0
Ayu7sith4,Ayu7sith4@campus.edu,student123,100.0
Toucaan_Samm,Toucaan_Samm@campus.edu,student123,100.0
SSmyth2010,SSmyth2010@campus.edu,student123,100.0
DarkToonsGaming,DarkToonsGaming@campus.edu,student123,100.0
GourlayLynn,GourlayLynn@campus.edu,student123,100.0
jlpeter37,jlpeter37@campus.edu,student123,100.0
SarahMaddry,SarahMaddry@campus.edu,student123,100.0
bethleia,bethleia@campus.edu,student123,100.0
StrictlyAri,StrictlyAri@campus.edu,student123,100.0
JHurkett,JHurkett@campus.edu,student123,100.0
karenhbullard,karenhbullard@campus.edu,student123,100.0
1oneonlyone1,1oneonlyone1@campus.edu,student123,100.0
the_offical_ios,the_offical_ios@campus.edu,student123,100.0
DearMoonshine__,DearMoonshine__@campus.edu,student123,100.0
RinCutie,RinCutie@campus.edu,student123,100.0
TV_Trax,TV_Trax@campus.edu,student123,100.0
HalRappaport,HalRappaport@campus.edu,student123,100.0
sarahamiels,sarahamiels@campus.edu,student123,100.0
TB12ForPrez,TB12ForPrez@campus.edu,student123,100.0
click88sure,click88sure@campus.edu,student123,100.0
300Stain,300Stain@campus.edu,student123,100.0
USAChildCare,USAChildCare@campus.edu,student123,100.0
__amira_,__amira_@campus.edu,student123,100.0
lifessubatomic,lifessubatomic@campus.edu,student123,100.0
brandonpattrson,brandonpattrson@campus.edu,student123,100.0
Geek_Initiative,Geek_Initiative@campus.edu,student123,100.0
danydifazio,danydifazio@campus.edu,student123,100.0
fetchfind,fetchfind@campus.edu,student123,100.0
mrshoran_girl,mrshoran_girl@campus.edu,student123,100.0
KABULALA,KABULALA@campus.edu,student123,100.0
DJKRO,DJKRO@campus.edu,student123,100.0
alexandraalice,alexandraalice@campus.edu,student123,100.0
OllieC9897,OllieC9897@campus.edu,student123,100.0
sfwhmnzne,sfwhmnzne@campus.edu,student123,100.0
HighTechPlanet,HighTechPlanet@campus.edu,student123,100.0
home8biz,home8biz@campus.edu,student123,100.0
llIUMINATlRESMl,llIUMINATlRESMl@campus.edu,student123,100.0
GamasutraGirl,GamasutraGirl@campus.edu,student123,100.0
sh6ne,sh6ne@campus.edu,student123,100.0
Joohnlennon3,Joohnlennon3@campus.edu,student123,100.0
Scott_Ryan_,Scott_Ryan_@campus.edu,student123,100.0
Zoe_o_Ebot,Zoe_o_Ebot@campus.edu,student123,100.0
CaronHohner,CaronHohner@campus.edu,student123,100.0
manikarthik,manikarthik@campus.edu,student123,100.0
NichelleIraheta,NichelleIraheta@campus.edu,student123,100.0
SML2020,SML2020@campus.edu,student123,100.0
cheer_diva97,cheer_diva97@campus.edu,student123,100.0
BURNSlVAN,BURNSlVAN@campus.edu,student123,100.0
MrABPhotog,MrABPhotog@campus.edu,student123,100.0
Moonfell44,Moonfell44@campus.edu,student123,100.0
realangelhes,realangelhes@campus.edu,student123,100.0
alanhudson1,alanhudson1@campus.edu,student123,100.0
Miss_Masaya,Miss_Masaya@campus.edu,student123,100.0
RAEHEREEEE,RAEHEREEEE@campus.edu,student123,100.0
Ilse_Futbolista,Ilse_Futbolista@campus.edu,student123,100.0
ShitApolloYells,ShitApolloYells@campus.edu,student123,100.0
MIASkateShop,MIASkateShop@campus.edu,student123,100.0
butkick2000,butkick2000@campus.edu,student123,100.0
Odi_SH,Odi_SH@campus.edu,student123,100.0
WFWildcats,WFWildcats@campus.edu,student123,100.0
AngieMozart,AngieMozart@campus.edu,student123,100.0
starsjournal,starsjournal@campus.edu,student123,100.0
BuzzellNatalie,BuzzellNatalie@campus.edu,student123,100.0
cyrusodessa,cyrusodessa@campus.edu,student123,100.0
WisemanKayo,WisemanKayo@campus.edu,student123,100.0
YemiSureGirl,YemiSureGirl@campus.edu,student123,100.0
smizz,smizz@campus.edu,student123,100.0
TCGJobs,TCGJobs@campus.edu,student123,100.0
angie48534918,angie48534918@campus.edu,student123,100.0
thebiglead,thebiglead@campus.edu,student123,100.0
techcheckrepair,techcheckrepair@campus.edu,student123,100.0
JakeElman,JakeElman@campus.edu,student123,100.0
Madelineh28,Madelineh28@campus.edu,student123,100.0
WonderRhythm,WonderRhythm@campus.edu,student123,100.0
anneaviel,anneaviel@campus.edu,student123,100.0
NotNuttyKarl,NotNuttyKarl@campus.edu,student123,100.0
AraHelvie,AraHelvie@campus.edu,student123,100.0
ashcfc17,ashcfc17@campus.edu,student123,100.0
DallasTX_News,DallasTX_News@campus.edu,student123,100.0
Adrien_RG,Adrien_RG@campus.edu,student123,100.0
Marit433,Marit433@campus.edu,student123,100.0
ClemsonJohn,ClemsonJohn@campus.edu,student123,100.0
movieskink,movieskink@campus.edu,student123,100.0
MSSociety_Brant,MSSociety_Brant@campus.edu,student123,100.0
Shady1277,Shady1277@campus.edu,student123,100.0
Jyotsna,Aravind99!,makam.jyotsna@gmail.com,100.0
Daivik,daivikln@gmail.com,Aravind99!,5.0
